time,open,high,low,close,tick_volume
2025-12-31T23:00:00Z,1.175170,1.175260,1.174460,1.174460,1061
2026-01-02T00:00:00Z,1.174470,1.174920,1.174340,1.174700,756
2026-01-02T01:00:00Z,1.174700,1.174940,1.174420,1.174940,876
2026-01-02T02:00:00Z,1.174930,1.175600,1.174930,1.175580,1082
2026-01-02T03:00:00Z,1.175580,1.176230,1.175580,1.176050,1825
2026-01-02T04:00:00Z,1.176050,1.176330,1.175780,1.175880,1318
2026-01-02T05:00:00Z,1.175880,1.176450,1.175880,1.176390,1276
2026-01-02T06:00:00Z,1.176400,1.176430,1.175480,1.175520,1141
2026-01-02T07:00:00Z,1.175510,1.175730,1.175030,1.175090,1127
2026-01-02T08:00:00Z,1.175080,1.175100,1.174110,1.174340,1573
2026-01-02T09:00:00Z,1.174320,1.174670,1.173180,1.173440,2870
2026-01-02T10:00:00Z,1.173440,1.173790,1.172350,1.172820,4704
2026-01-02T11:00:00Z,1.172820,1.173690,1.172020,1.172100,3779
2026-01-02T12:00:00Z,1.172110,1.172320,1.171290,1.172060,3161
2026-01-02T13:00:00Z,1.172060,1.172200,1.171480,1.172140,2681
2026-01-02T14:00:00Z,1.172140,1.172680,1.172020,1.172310,2408
2026-01-02T15:00:00Z,1.172310,1.172860,1.171780,1.172120,4153
2026-01-02T16:00:00Z,1.172130,1.173030,1.171530,1.172820,4330
2026-01-02T17:00:00Z,1.172810,1.175180,1.172780,1.175030,5590
2026-01-02T18:00:00Z,1.175020,1.175410,1.173370,1.173700,4845
2026-01-02T19:00:00Z,1.173690,1.173730,1.172810,1.173020,3571
2026-01-02T20:00:00Z,1.173030,1.173080,1.171480,1.171870,3346
2026-01-02T21:00:00Z,1.171860,1.172390,1.171380,1.172270,3026
2026-01-02T22:00:00Z,1.172270,1.172320,1.171470,1.171700,3015
2026-01-02T23:00:00Z,1.171700,1.172270,1.171670,1.171940,1234
2026-01-05T00:00:00Z,1.171850,1.172400,1.171210,1.171210,468
2026-01-05T01:00:00Z,1.171210,1.171210,1.169870,1.170380,1899
2026-01-05T02:00:00Z,1.170370,1.171070,1.170310,1.170450,2884
2026-01-05T03:00:00Z,1.170450,1.170690,1.169930,1.169990,3226
2026-01-05T04:00:00Z,1.169990,1.170120,1.168350,1.168820,3013
2026-01-05T05:00:00Z,1.168820,1.169030,1.167190,1.167480,2497
2026-01-05T06:00:00Z,1.167480,1.168260,1.167280,1.168140,1722
2026-01-05T07:00:00Z,1.168140,1.168550,1.167990,1.168500,1364
2026-01-05T08:00:00Z,1.168500,1.169140,1.167780,1.169060,2168
2026-01-05T09:00:00Z,1.169060,1.169170,1.168310,1.168590,3503
2026-01-05T10:00:00Z,1.168590,1.169440,1.168070,1.168300,4383
2026-01-05T11:00:00Z,1.168300,1.168700,1.167340,1.168210,3395
2026-01-05T12:00:00Z,1.168210,1.168970,1.167940,1.168950,3334
2026-01-05T13:00:00Z,1.168950,1.169050,1.167970,1.168110,3313
2026-01-05T14:00:00Z,1.168110,1.168470,1.166950,1.167040,3296
2026-01-05T15:00:00Z,1.167050,1.167480,1.165860,1.167410,5595
2026-01-05T16:00:00Z,1.167420,1.168700,1.167270,1.168540,5592
2026-01-05T17:00:00Z,1.168520,1.170420,1.168500,1.170420,6459
2026-01-05T18:00:00Z,1.170420,1.171820,1.170370,1.171440,4823
2026-01-05T19:00:00Z,1.171440,1.171940,1.170960,1.171400,3554
2026-01-05T20:00:00Z,1.171400,1.172500,1.171290,1.172460,2222
2026-01-05T21:00:00Z,1.172470,1.172830,1.172160,1.172670,2444
2026-01-05T22:00:00Z,1.172670,1.172820,1.172330,1.172430,1615
2026-01-05T23:00:00Z,1.172430,1.172590,1.171900,1.172030,1231
2026-01-06T00:00:00Z,1.171690,1.172070,1.171650,1.171770,218
2026-01-06T01:00:00Z,1.171770,1.172020,1.171130,1.171310,837
2026-01-06T02:00:00Z,1.171430,1.171650,1.171020,1.171630,1634
2026-01-06T03:00:00Z,1.171630,1.172490,1.171180,1.172490,2850
2026-01-06T04:00:00Z,1.172490,1.173750,1.172170,1.173700,2152
2026-01-06T05:00:00Z,1.173680,1.173780,1.173200,1.173420,1717
2026-01-06T06:00:00Z,1.173420,1.173520,1.173100,1.173330,1473
2026-01-06T07:00:00Z,1.173330,1.173660,1.172690,1.172830,1853
2026-01-06T08:00:00Z,1.172850,1.173660,1.172830,1.173580,2040
2026-01-06T09:00:00Z,1.173580,1.174240,1.172550,1.172870,3282
2026-01-06T10:00:00Z,1.172850,1.173850,1.172560,1.172790,4164
2026-01-06T11:00:00Z,1.172790,1.172860,1.170760,1.171290,4372
2026-01-06T12:00:00Z,1.171280,1.171680,1.170790,1.171230,2785
2026-01-06T13:00:00Z,1.171230,1.171280,1.170440,1.170570,2622
2026-01-06T14:00:00Z,1.170560,1.171190,1.169690,1.170090,3224
2026-01-06T15:00:00Z,1.170090,1.171320,1.169700,1.171060,5194
2026-01-06T16:00:00Z,1.171060,1.171720,1.169880,1.170860,5546
2026-01-06T17:00:00Z,1.170870,1.170870,1.168360,1.169470,7072
2026-01-06T18:00:00Z,1.169470,1.169790,1.168540,1.168760,4390
2026-01-06T19:00:00Z,1.168760,1.170030,1.168660,1.170030,2834
2026-01-06T20:00:00Z,1.170030,1.170170,1.168650,1.168780,2695
2026-01-06T21:00:00Z,1.168770,1.169060,1.168340,1.168920,2579
2026-01-06T22:00:00Z,1.168920,1.169260,1.168600,1.168640,1761
2026-01-06T23:00:00Z,1.168640,1.168830,1.168410,1.168760,1068
2026-01-07T00:00:00Z,1.168140,1.168670,1.168140,1.168650,1201
2026-01-07T01:00:00Z,1.168650,1.168890,1.168540,1.168560,673
2026-01-07T02:00:00Z,1.168570,1.169390,1.168500,1.169130,2532
2026-01-07T03:00:00Z,1.169130,1.170020,1.168950,1.169530,2641
2026-01-07T04:00:00Z,1.169510,1.170220,1.169480,1.169570,1974
2026-01-07T05:00:00Z,1.169570,1.169970,1.169550,1.169810,1305
2026-01-07T06:00:00Z,1.169810,1.170160,1.169060,1.169070,1969
2026-01-07T07:00:00Z,1.169070,1.169390,1.169040,1.169270,1625
2026-01-07T08:00:00Z,1.169270,1.169920,1.169170,1.169710,1590
2026-01-07T09:00:00Z,1.169710,1.169840,1.167830,1.168230,3821
2026-01-07T10:00:00Z,1.168220,1.168690,1.167240,1.168530,4231
2026-01-07T11:00:00Z,1.168530,1.168650,1.168080,1.168390,2774
2026-01-07T12:00:00Z,1.168380,1.169350,1.168310,1.168800,3122
2026-01-07T13:00:00Z,1.168790,1.169210,1.168460,1.168880,2576
2026-01-07T14:00:00Z,1.168880,1.169090,1.168080,1.168740,2727
2026-01-07T15:00:00Z,1.168710,1.169440,1.168210,1.169120,4313
2026-01-07T16:00:00Z,1.169110,1.169800,1.168660,1.169670,4833
2026-01-07T17:00:00Z,1.169670,1.169830,1.167960,1.168980,8089
2026-01-07T18:00:00Z,1.168970,1.169270,1.168170,1.168880,3612
2026-01-07T19:00:00Z,1.168880,1.169430,1.168580,1.168750,2832
2026-01-07T20:00:00Z,1.168740,1.168990,1.168200,1.168250,2432
2026-01-07T21:00:00Z,1.168250,1.168490,1.167820,1.168200,2623
2026-01-07T22:00:00Z,1.168200,1.168330,1.167830,1.167840,1997
2026-01-07T23:00:00Z,1.167830,1.167860,1.167310,1.167440,994
2026-01-08T00:00:00Z,1.167110,1.167640,1.167110,1.167560,252
2026-01-08T01:00:00Z,1.167560,1.167620,1.167360,1.167530,458
2026-01-08T02:00:00Z,1.167530,1.167760,1.167530,1.167530,1618
2026-01-08T03:00:00Z,1.167530,1.167750,1.167250,1.167430,2146
2026-01-08T04:00:00Z,1.167430,1.168030,1.167220,1.167980,2423
2026-01-08T05:00:00Z,1.167960,1.168240,1.167840,1.167960,2016
2026-01-08T06:00:00Z,1.167950,1.168070,1.167750,1.168000,1157
2026-01-08T07:00:00Z,1.167980,1.168240,1.167700,1.168200,2054
2026-01-08T08:00:00Z,1.168200,1.168250,1.167440,1.168120,2799
2026-01-08T09:00:00Z,1.168120,1.168250,1.167660,1.167750,3334
2026-01-08T10:00:00Z,1.167740,1.167840,1.166850,1.167090,3756
2026-01-08T11:00:00Z,1.167080,1.167650,1.166890,1.167630,2994
2026-01-08T12:00:00Z,1.167630,1.168160,1.167530,1.167940,2882
2026-01-08T13:00:00Z,1.167940,1.167990,1.167480,1.167710,2324
2026-01-08T14:00:00Z,1.167700,1.167740,1.166940,1.167270,2422
2026-01-08T15:00:00Z,1.167280,1.167740,1.165790,1.166230,4684
2026-01-08T16:00:00Z,1.166240,1.166610,1.165570,1.166410,5184
2026-01-08T17:00:00Z,1.166410,1.167340,1.166030,1.166600,4980
2026-01-08T18:00:00Z,1.166600,1.166720,1.165210,1.165410,3874
2026-01-08T19:00:00Z,1.165390,1.165520,1.164320,1.165020,3708
2026-01-08T20:00:00Z,1.165010,1.165280,1.164430,1.164470,2838
2026-01-08T21:00:00Z,1.164470,1.165030,1.164220,1.164970,2387
2026-01-08T22:00:00Z,1.164960,1.165410,1.164930,1.165060,2622
2026-01-08T23:00:00Z,1.165060,1.166200,1.165010,1.165860,1748
2026-01-09T00:00:00Z,1.165760,1.165850,1.164700,1.165730,210
2026-01-09T01:00:00Z,1.165730,1.166080,1.165500,1.165650,678
2026-01-09T02:00:00Z,1.165760,1.165760,1.165300,1.165320,1303
2026-01-09T03:00:00Z,1.165320,1.165670,1.164790,1.164870,2446
2026-01-09T04:00:00Z,1.164870,1.165430,1.164560,1.165390,1919
2026-01-09T05:00:00Z,1.165390,1.165870,1.165330,1.165570,1582
2026-01-09T06:00:00Z,1.165570,1.165650,1.165150,1.165390,1406
2026-01-09T07:00:00Z,1.165390,1.165580,1.164960,1.165070,1649
2026-01-09T08:00:00Z,1.165070,1.165230,1.164800,1.164850,1846
2026-01-09T09:00:00Z,1.164840,1.165040,1.163970,1.165030,2837
2026-01-09T10:00:00Z,1.165040,1.165250,1.164070,1.164840,3816
2026-01-09T11:00:00Z,1.164860,1.164980,1.164190,1.164190,2373
2026-01-09T12:00:00Z,1.164200,1.164640,1.163650,1.164640,2367
2026-01-09T13:00:00Z,1.164640,1.164660,1.164120,1.164560,2000
2026-01-09T14:00:00Z,1.164560,1.164570,1.163930,1.164090,2856
2026-01-09T15:00:00Z,1.164100,1.166040,1.162550,1.164470,10098
2026-01-09T16:00:00Z,1.164470,1.165210,1.162950,1.163630,9756
2026-01-09T17:00:00Z,1.163580,1.164050,1.161770,1.164010,8159
2026-01-09T18:00:00Z,1.164010,1.164290,1.162780,1.163290,4678
2026-01-09T19:00:00Z,1.163280,1.163410,1.162710,1.163120,3341
2026-01-09T20:00:00Z,1.163140,1.163950,1.163070,1.163350,2576
2026-01-09T21:00:00Z,1.163360,1.163850,1.163270,1.163430,1996
2026-01-09T22:00:00Z,1.163440,1.163730,1.163350,1.163410,1886
2026-01-09T23:00:00Z,1.163410,1.163640,1.162890,1.163320,907
2026-01-12T00:00:00Z,1.163270,1.163410,1.162660,1.163410,185
2026-01-12T01:00:00Z,1.163410,1.163410,1.162160,1.162230,699
2026-01-12T02:00:00Z,1.162230,1.166460,1.162120,1.166430,4881
2026-01-12T03:00:00Z,1.166450,1.167090,1.165520,1.165550,4303
2026-01-12T04:00:00Z,1.165560,1.166390,1.165350,1.165430,2713
2026-01-12T05:00:00Z,1.165440,1.165880,1.165440,1.165480,1697
2026-01-12T06:00:00Z,1.165490,1.165800,1.165250,1.165530,1445
2026-01-12T07:00:00Z,1.165520,1.167070,1.165520,1.166870,2041
2026-01-12T08:00:00Z,1.166880,1.167250,1.166370,1.166930,2397
2026-01-12T09:00:00Z,1.166920,1.168720,1.166810,1.168450,4600
2026-01-12T10:00:00Z,1.168450,1.169140,1.167550,1.168770,4355
